cord_uid,title,abstract,publish_time,authors,journal,source_x,pdf_json_files,pmc_json_files
CORD-000000,COVID-19 Research Paper 1: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 1. We analyzed data from multiple sources and found significant correlations.,2020-01-01 00:00:00.000000000,"Author1, A.; Researcher1, B.",NEJM,PMC,pdf_0.json,pmc_0.json
CORD-000001,COVID-19 Research Paper 2: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 2. We analyzed data from multiple sources and found significant correlations.,2020-01-02 02:18:22.702702702,"Author2, A.; Researcher2, B.",BMJ,PubMed,pdf_1.json,
CORD-000002,COVID-19 Research Paper 3: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 3. We analyzed data from multiple sources and found significant correlations.,2020-01-03 04:36:45.405405405,"Author3, A.; Researcher3, B.",Lancet,PMC,pdf_2.json,
CORD-000003,COVID-19 Research Paper 4: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 4. We analyzed data from multiple sources and found significant correlations.,2020-01-04 06:55:08.108108108,"Author4, A.; Researcher4, B.",BMJ,PMC,pdf_3.json,pmc_3.json
CORD-000004,COVID-19 Research Paper 5: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 5. We analyzed data from multiple sources and found significant correlations.,2020-01-05 09:13:30.810810810,"Author5, A.; Researcher5, B.",BMJ,arXiv,pdf_4.json,
CORD-000005,COVID-19 Research Paper 6: A Study on Transmission Patterns,,2020-01-06 11:31:53.513513513,,Science,bioRxiv,pdf_5.json,
CORD-000006,COVID-19 Research Paper 7: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 7. We analyzed data from multiple sources and found significant correlations.,2020-01-07 13:50:16.216216216,"Author7, A.; Researcher2, B.",Lancet,bioRxiv,pdf_6.json,pmc_6.json
CORD-000007,COVID-19 Research Paper 8: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 8. We analyzed data from multiple sources and found significant correlations.,2020-01-08 16:08:38.918918918,"Author8, A.; Researcher3, B.",Lancet,PMC,pdf_7.json,
CORD-000008,COVID-19 Research Paper 9: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 9. We analyzed data from multiple sources and found significant correlations.,2020-01-09 18:27:01.621621621,"Author9, A.; Researcher4, B.",Lancet,arXiv,pdf_8.json,
CORD-000009,COVID-19 Research Paper 10: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 10. We analyzed data from multiple sources and found significant correlations.,2020-01-10 20:45:24.324324324,"Author10, A.; Researcher5, B.",BMJ,PMC,pdf_9.json,pmc_9.json
CORD-000010,COVID-19 Research Paper 11: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 11. We analyzed data from multiple sources and found significant correlations.,2020-01-11 23:03:47.027027027,"Author1, A.; Researcher1, B.",NEJM,PMC,pdf_10.json,
CORD-000011,COVID-19 Research Paper 12: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 12. We analyzed data from multiple sources and found significant correlations.,2020-01-13 01:22:09.729729729,"Author2, A.; Researcher2, B.",Lancet,PMC,pdf_11.json,
CORD-000012,COVID-19 Research Paper 13: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 13. We analyzed data from multiple sources and found significant correlations.,2020-01-14 03:40:32.432432432,"Author3, A.; Researcher3, B.",JAMA,arXiv,pdf_12.json,pmc_12.json
CORD-000013,COVID-19 Research Paper 14: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 14. We analyzed data from multiple sources and found significant correlations.,2020-01-15 05:58:55.135135135,"Author4, A.; Researcher4, B.",BMJ,bioRxiv,pdf_13.json,
CORD-000014,COVID-19 Research Paper 15: A Study on Transmission Patterns,This paper presents findings on COVID-19 transmission patterns in sample 15. We analyzed data from multiple sources and found significant correlations.,2020-01-16 08:17:17.837837837,"Author5, A.; Researcher5, B.",Science,arXiv,pdf_14.json,
